time,latitude,longitude,depth,mag,magType,event_id,min_hyp_CCN_N_km,min_hyp_SER_N_km,min_hyp_SER_S_km
2025-06-13 01:06:39,-32.671,-71.801,34.0,4.0,Ml,20250613T010639,34.3,314.3,192.8
2025-06-24 02:58:26,-29.352,-71.484,68.0,4.3,Ml,20250624T025826,267.7,72.3,91.5
2025-06-24 05:08:00,-31.613,-72.609,42.0,4.0,Ml,20250624T050800,85.6,231.8,109.5
2025-06-28 09:58:38,-29.752,-71.291,57.0,4.7,Mw,20250628T095838,225.8,58.6,59.0
2025-06-30 08:12:28,-31.96,-71.24,57.0,4.6,Mw,20250630T081228,81.4,236.6,138.2
2025-07-01 19:44:12,-30.87,-71.151,58.0,4.5,Ml,20250701T194412,123.5,123.8,88.9
2025-07-06 16:20:15,-31.761,-71.533,36.0,4.1,Ml,20250706T162015,45.4,212.1,101.0
2025-07-27 10:37:04,-29.306,-71.817,44.0,4.8,Mw,20250727T103704,265.7,44.7,87.4
2025-07-27 12:51:11,-32.747,-71.945,20.0,4.0,Ml,20250727T125111,28.6,323.9,199.3
2025-08-02 04:52:12,-29.862,-71.467,65.0,4.4,Mw,20250802T045212,213.3,65.2,65.3
2025-08-02 06:48:13,-29.076,-71.426,39.0,4.1,Ml,20250802T064813,292.6,50.2,99.0
2025-08-11 14:17:22,-30.694,-71.627,32.0,4.3,Ml,20250811T141722,114.2,100.5,37.9
2025-08-17 05:08:23,-29.931,-71.4,50.0,4.0,Ml,20250817T050823,203.1,50.7,50.1
2025-08-23 09:07:58,-32.491,-71.574,46.0,4.6,Mw,20250823T090758,50.7,293.5,178.1
2025-08-24 17:42:17,-32.512,-71.434,76.0,4.2,Ml,20250824T174217,83.2,301.0,192.5
2025-08-25 02:41:38,-31.087,-71.809,26.0,4.1,Ml,20250825T024138,69.6,144.5,30.1
2025-08-31 08:42:54,-33.605,-71.618,49.0,4.3,Mw,20250831T084254,91.2,416.2,298.3
2025-09-01 13:48:01,-30.635,-71.229,55.0,4.4,Mw,20250901T134801,139.0,99.4,79.8
2025-09-09 17:35:13,-29.551,-72.074,35.0,4.4,Mw,20250909T173513,238.7,48.0,72.6
2025-09-14 14:32:24,-32.119,-71.822,30.0,4.1,Ml,20250914T143224,30.1,254.5,132.0
2025-09-22 16:01:13,-29.306,-71.232,47.0,4.5,Mw,20250922T160113,272.1,67.6,80.0
2025-09-25 19:28:00,-31.722,-71.606,35.0,4.1,Ml,20250925T192800,40.4,208.6,94.8
2025-09-28 02:35:26,-29.14,-71.121,63.0,4.1,Ml,20250928T023526,295.1,86.0,105.3
2025-10-02 10:43:56,-30.71,-71.77,31.0,5.5,Mw,20251002T104356,110.9,106.7,31.7
2025-10-06 08:17:49,-31.299,-71.383,27.0,4.0,Ml,20251006T081749,64.2,159.0,65.4
2025-10-13 01:11:33,-30.673,-71.668,33.0,4.4,Ml,20251013T011133,116.2,100.1,36.8
2025-10-13 01:28:06,-30.698,-71.666,33.0,4.9,Mw,20251013T012806,113.6,102.5,37.0
2025-10-14 07:17:32,-30.027,-71.647,36.0,4.0,Ml,20251014T071732,186.3,46.8,36.1
2025-10-15 11:43:39,-30.75,-71.42,49.0,5.5,Mww,20251015T114339,119.3,108.2,63.6
2025-10-15 22:12:09,-28.991,-71.135,57.0,4.0,Ml,20251015T221209,309.4,83.7,115.5
