station,peak_disp,peak_noise,snr,distance,latitude,longitude,depth,magnitude
C0200,2.326257465194084e-06,3.1979743017055346e-08,72.74159345037422,234.26554943778362,-32.806552,-71.651001,-450.0,5.281217770984584
C0250,6.336234189843536e-07,4.820544361493944e-08,13.14422960289875,230.55585757050423,-32.770002,-71.675661,-432.0,4.595357062561878
C0400,2.475997471902243e-06,7.209255487476374e-08,34.34470419592488,219.65994593373128,-32.660148,-71.751963,-1454.0,5.2595586763101005
C0500,2.011256795889539e-06,1.3712714847138605e-07,14.667094140801902,211.37031737632373,-32.57774,-71.786017,-1838.0,5.12026200080084
C0600,5.3093295377925315e-06,9.04411347370191e-08,58.70480897028521,202.54957802363626,-32.491438,-71.806015,-1834.0,5.5872097395063385
C0650,3.708099808225729e-06,2.577141606078843e-07,14.388420874814305,198.1791940965266,-32.448354,-71.815999,-1740.0,5.3838878583295005
C0750,1.8305486406089042e-06,1.2578908805250764e-07,14.55252334641925,189.39037648969492,-32.361793,-71.831864,-1488.0,4.9823039165104195
C0800,6.076530150450818e-06,8.468692938160828e-08,71.7528690061406,184.99275471724368,-32.318531,-71.837827,-1432.0,5.583805039120557
C0850,6.150736292944985e-06,1.0287253660466635e-07,59.78987683157785,180.57789154925734,-32.27507,-71.842898,-1095.0,5.570822575827158
C0900,3.0192397956092253e-06,1.7967804979645118e-07,16.80360956182227,176.06756259847313,-32.230955,-71.845659,-1092.0,5.182866285977233
C1000,4.993065668629701e-06,1.039578491237099e-07,48.02971310697233,167.1035906622978,-32.142634,-71.851184,-1415.0,5.401822574204349
C1050,3.509572616677401e-06,1.2873701022612482e-07,27.26156689916042,162.64437565795475,-32.098336,-71.853951,-1472.0,5.198421683631616
C1150,7.2197819747436525e-06,2.8207085735874616e-07,25.595632396583664,153.79595709585791,-32.009606,-71.859448,-1698.0,5.528015983523466
C1200,4.942867349756367e-06,8.88199246548763e-08,55.650433942188656,149.29964601122174,-31.965322,-71.857413,-1624.0,5.309316817939555
C1250,6.415629592126999e-06,2.1144023908644714e-07,30.342519568869648,144.78039646059767,-31.921044,-71.853513,-1815.0,5.4206452601126305
C1300,1.3902686885769377e-05,1.363108354649273e-07,101.99252934185508,140.31166661550904,-31.876739,-71.85055,-1799.0,5.7966309681765615
C1350,1.4227788143529957e-05,2.350790555304692e-07,60.52341886189795,135.87403351196934,-31.832433,-71.847587,-1759.0,5.784267337948245
C1400,1.5703716635687338e-05,4.259583325355081e-07,36.866790566606106,131.46373983812245,-31.787994,-71.844825,-1646.0,5.8104656937282195
C1450,4.050393741616214e-05,1.0255633613218689e-06,39.49432959847143,127.01371668840879,-31.745163,-71.834266,-1839.0,6.274565218995106
C1500,3.667979388199871e-05,8.47981438430536e-07,43.255420719923464,122.51363573483425,-31.703491,-71.817261,-1807.0,6.196437741403459
N0200,7.756751624420772e-06,4.719665261108129e-07,16.43496136969588,113.0494211230014,-29.831,-71.417424,-353.0,5.333833336524016
N0250,2.710286441935424e-05,1.4410500329555628e-07,188.07719232181583,115.32119790562335,-29.809008,-71.461846,-613.0,5.99528060241066
N0300,1.3310830553067442e-05,1.362876186644678e-07,97.66720325371546,117.74815414550488,-29.787071,-71.506087,-635.0,5.6429975012249
N0350,5.205340339540426e-06,1.194080976465938e-07,43.59285879376801,120.34696273812403,-29.764971,-71.55077,-852.0,5.173711461149758
N0400,3.3827185917946093e-06,6.003049427188517e-08,56.35000399086969,123.78074777078673,-29.734956,-71.587195,-985.0,4.971747862236371
N0450,1.489713004996558e-06,2.9174698213952083e-08,51.06181370144009,127.63056532964042,-29.701136,-71.619579,-1073.0,4.570570469781793
N0500,1.5238143824277954e-05,9.584274674331097e-08,158.99110096551414,131.5607739659401,-29.667213,-71.652062,-1360.0,5.795459518367016
